HPO编号	主分类(中文)	名称(英文)	定义(英文)	中文译名	中文定义
HP:0002119	神经系统异常	Ventriculomegaly	An increase in size of the ventricular system of the brain.	巨脑室	脑的脑室系统容积增大。
HP:0002120	神经系统异常	Cerebral cortical atrophy	Atrophy of the cortex of the cerebrum.	大脑皮层萎缩	萎缩的大脑皮质。
HP:0002121	神经系统异常	Absence seizures	Recurrent absence seizures are `generalized seizures` (HP:0002197) and are characterized by a loss of consciousness, thus, are a form of `dialeptic seizures` (HP:0011146).	失神发作	复发性失神发作是种全面性癫痫发作（HP:0002197），其特点是意识丧失，因此，是一种`呆滞性癫痫发作`形式（HP:0011146）。
HP:0002123	神经系统异常	Generalized myoclonic seizures	Seizures with sudden, brief (&lt; 100 msec) involuntary single or multiple contraction(s) of muscles(s) or muscle groups of variable topography (axial, proximal limb, distal).	全身性肌阵挛发作	癫痫发作，突然、短暂的（&lt;100毫秒）的单块肌肉或肌群不自主地单次或多次不规则收缩（轴性，四肢近端，远端）。
HP:0002126	神经系统异常	Polymicrogyria	A congenital abnormality of the cerebral hemisphere characterized by an excessive number of small gyri (convolutions) on the surface of the brain.	多小脑回	大脑半球的特征在于小脑回（卷积）数量过多的大脑的表面上的先天性异常。
HP:0002127	神经系统异常	Upper motor neuron abnormality	#####	上运动神经元异常	#####
HP:0002131	神经系统异常	Episodic ataxia	Periodic spells of incoordination and imbalance.	发作性共济失调	周期性发作的不协调和不平衡。
HP:0002132	神经系统异常	Porencephaly	A disorder of the brain in which a cyst or cavity filled with cerebrospinal fluid develops in the cerebral hemisphere.	脑穿通畸形	大脑中有充满脑脊液的囊性结构或空腔。
HP:0002133	神经系统异常	Status epilepticus	Seizures lasting for more than 30 minutes or longer or multiple seizures repeated frequently without regaining consciousness between seizures.	癫痫持续状态	发作持续时间超过30分钟或更长时间或多次癫痫频繁重复发作，发作之间未恢复知觉。
HP:0002134	神经系统异常	Abnormality of the basal ganglia	Abnormality of the `basal ganglia` (FMA:84013).	基底节异常	`基底节`的异常（FMA:84013）。
HP:0002135	神经系统异常,骨骼系统异常	Basal ganglia calcification	The presence of `calcium deposition` (MPATH:36) affecting one or more structures of the `basal ganglia` (FMA:84013).	基底节钙化	出现在基底节区（FMA:84013）的钙沉积(MPATH:36)，可累及一个或多个基底节区核团。
HP:0002136	神经系统异常	Broad-based gait	An abnormal gait pattern in which persons stand and walk with their feet spaced widely apart. This is often a component of cerebellar ataxia.	宽基步态	是一种异常的步态模式，站立和行走时双脚距离很宽。这往往是小脑性共济失调的组成部分。
HP:0002138	神经系统异常,血液和造血组织异常,心血管系统异常	Subarachnoid hemorrhage	`Hemorrhage` (MPATH:119) occurring between the `arachnoid mater` (FMA:9591) and the `pia mater` (FMA:9590).	蛛网膜下腔出血	发生在蛛网膜（FMA:9591）和软脑膜（FMA:9590）之间的出血（MPATH:119）。
HP:0002139	神经系统异常	Arrhinencephaly	#####	无鼻无脑畸形	#####
HP:0002140	神经系统异常,心血管系统异常	Ischemic stroke	#####	缺血性脑卒中	脑局部区域丧失血液循环，导致相应的神经系统功能缺陷。
HP:0002141	神经系统异常	Gait imbalance	#####	步态失衡	#####
HP:0002143	神经系统异常	Abnormality of the spinal cord	An abnormality of the `spinal cord` (FMA:7647) (myelon).	脊髓异常	在`脊髓`的异常（FMA:7647）。
HP:0002144	神经系统异常	Tethered cord	During normal embryological development, the spinal cord first occupies the entire length of the vertebral column but goes on to assume a position at the level of L1 due to differential growth of the conus medullaris and the vertebral column. The filum terminale is a slender, threadlike structure that remains after the normal regression of the distal embryonic spinal cord and attaches the spinal cord to the coccyx. A tethered cord results if there is a thickened rope-like filum terminale which anchors the cord at the level of L2 or below, potentially causing neurologic signs owing to abnormal tension on the spinal cord.	脊髓栓系	在正常的胚胎发育中，脊髓最初占据整个脊柱的长度，但随着脊髓圆锥和椎体的分化、生长，最终位于L1水平的位置。终丝是远侧胚胎脊髓退缩之后形成的一种细长的线状结构并将脊髓附着在尾骨上。如果有一根粗大的绳子样的终丝将脊髓固定在L2水平或以下就会导致脊髓栓系，并且可能会因为脊髓收到的异常张力而导致神经系统体征。
HP:0002145	神经系统异常	Frontotemporal dementia	A dementia associated with degeneration of the frontotemporal lobe and clinically associated with personality and behavioral changes such as disinhibition, apathy, and lack of insight.	额颞叶痴呆	额颞叶功能退变引起的痴呆类型，临床表现为个性和行为改变，如脱抑制行为，冷漠和自知力缺乏。
HP:0002148	代谢紊乱/稳态失衡	Hypophosphatemia	An abnormally decreased `phosphate` (CHEBI:18367) concentration in the `blood` (FMA:9670).	低磷血症	`血`（FMA:9670）中`磷酸盐 `（CHEBI：18367）的浓度异常降低 。
HP:0002149	代谢紊乱/稳态失衡	Hyperuricemia	An abnormally high level of `uric acid` (CHEBI:27226) in the `blood` (FMA:9670).	高尿酸血症	`血`（FMA：9670）中`尿酸`（27226 CHEBI）的水平异常增高。
HP:0002150	泌尿生殖系统异常,代谢紊乱/稳态失衡	Hypercalciuria	#####	高钙尿症	#####
HP:0002151	代谢紊乱/稳态失衡	Increased serum lactate	Abnormally increased level of blood `lactate` (CHEBI:24996)  (2-hydroxypropanoic acid). Lactate is produced from pyruvate by lactate dehydrogenase during normal metabolism.	血清乳酸增高	血液`乳酸 `（CHEBI：24996)（2-羟基丙酸）的异常增加。乳酸是在正常代谢过程中由乳酸脱氢酶代谢产生的丙酮酸而来。
HP:0002152	代谢紊乱/稳态失衡	Hyperproteinemia	An `increased concentration` (PATO:0001162) of `proteins` (CHEBI:36080) in the `blood` (FMA:9670).	高蛋白血症	`血 `（FMA：9670）中的`蛋白`（CHEBI：36080）的`浓度增加 `（0001162 PATO）。
HP:0002153	代谢紊乱/稳态失衡	Hyperkalemia	An abnormally increased `potassium` (CHEBI:29103) concentration in the blood.	高钾血症	血液中`钾`（CHEBI：29103） 的浓度异常增加 。
HP:0002154	代谢紊乱/稳态失衡	Hyperglycinemia	An elevated concentration of `glycine` (CHEBI:15428) in the `blood` (FMA:9670).	高甘氨酸血症	#####
HP:0002155	代谢紊乱/稳态失衡	Hypertriglyceridemia	An abnormal increase in the level of `triglycerides` (CHEBI:17855) in the `blood` (FMA:9670).	高甘油三酯血症	`血`（FMA：9670）中'甘油三酯 `（17855 CHEBI）水平的异常增加。
HP:0002156	泌尿生殖系统异常,代谢紊乱/稳态失衡	Homocystinuria	An increased concentration of `homocystine` (CHEBI:17485) in the `urine` (FMA:12274).	高胱氨酸尿症	#####
HP:0002157	代谢紊乱/稳态失衡	Azotemia	An increased concentration of `nitrogen compounds` (CHEBI:51143) in the `blood` (FMA:9670).	氮质血症	`血液`（FMA：9670）中'氮化合物`(CHEBI:51143)的浓度增加。
HP:0002159	泌尿生殖系统异常,代谢紊乱/稳态失衡	Heparan sulfate excretion in urine	An `increased concentration` (PATO:0001162) of `heparan sulfates` (CHEBI:35721) in the `urine` (FMA:12274).	尿中硫酸乙酰肝素排泄	#####
HP:0002160	代谢紊乱/稳态失衡	Hyperhomocystinemia	An increased concentration of `homocystine` (CHEBI:17485) in the `blood` (FMA:9670).	高同型半胱氨酸血症	#####
HP:0002161	代谢紊乱/稳态失衡	Hyperlysinemia	An increased concentration of `lysine` (CHEBI:25094) in the `blood` (FMA:9670).	高赖氨酸血症	`血`（FMA：9670）中`赖氨酸`（25094 CHEBI）的浓度增加。
HP:0002162	头部和颈部的异常,体壁的异常	Low posterior hairline	Hair on the neck extends more inferiorly than usual.	后发际低	脖子上的头发延伸异常。
HP:0002164	体壁的异常	Nail dysplasia	The presence of `developmental dysplasia` (MPATH:64) of the `nail` (FMA:54326).	甲发育不良	甲的发育不良。
HP:0002165	体壁的异常	Pterygium formation (nails)	#####	甲胬肉	#####
HP:0002166	神经系统异常	Impaired vibration sensation in the lower limbs	A decrease in the ability to perceive vibration in the legs.	下肢振动觉障碍	腿感知振动的能力下降。
HP:0002167	神经系统异常	Neurological speech impairment	#####	神经语言障碍	#####
HP:0002168	神经系统异常	Scanning speech	#####	断续言语	#####
HP:0002169	神经系统异常	Clonus	A series of rhythmic and involuntary muscle contractions (at a frequency of about 5 to 7 Hz) that occur in response to an abruptly applied and sustained stretch.	阵挛	对一个突然施加并持续拉伸的外力做出的回应，出现一系列有节律、不自主的肌肉收缩（频率约为5-7赫兹）。
HP:0002170	神经系统异常,血液和造血组织异常,心血管系统异常	Intracranial hemorrhage	`Hemorrhage` (MPATH:119) occurring within the `skull` (FMA:46565).	颅内出血	发生在颅内（FMA:46565）的出血（MPATH:119）。
HP:0002171	神经系统异常	Gliosis	The presence of `gliosis` (MPATH:182) in the `central nervous system` (FMA:55675).	胶质细胞增生	存在于&#39;中枢神经系统`（FMA:55675）的`胶质细胞增生` (MPATH:182)。
HP:0002172	神经系统异常	Postural instability	As the balance system, spine or lower limb skeletal, muscle abnormalities, causing lower limb walking adverse and gait abnormalities.	姿势不稳	由于平衡系统、脊柱或下肢骨骼、肌肉异常，引起下肢行走不利，步态异常。
HP:0002173	神经系统异常,代谢紊乱/稳态失衡	Hypoglycemic seizures	Due to a variety of reasons caused by low blood sugar concentration, usually with plasma glucose concentration <2.8mmol / L, which can cause sympathetic excitability , such as agitation, hunger, weakness, sweating, tachycardia, systolic blood pressure, diastolic blood pressure, tremor, disturbance of consciousness, and even coma.	低血糖发作	由多种原因引起的血糖浓度过低所致。一般以血浆血糖浓度<2.8mmol/L，可引起交感神经兴奋症群，如激动不安、饥饿、软弱、出汗、心动过速、收缩压升高、舒张压降低、震颤，一过性黑蒙，意识障碍，甚至昏迷。
HP:0002174	神经系统异常	Postural tremor	A type of tremors that is triggered by holding a limb in a fixed position.	姿势性震颤	当肢体固定在一个姿势时诱发的震颤。
HP:0002176	神经系统异常	Spinal cord compression	External mechanical compression of the spinal cord.	脊髓受压	脊髓受到外部机械压缩。
HP:0002179	肌肉组织异常,神经系统异常	Opisthotonus	Ankylosing spasticity of the back muscles that causes the head and lower limbs to bend back and the torso forward into an arcuate state,which can be found in a variety of causes of encephalitis, meningitis.	角弓反张	#####
HP:0002180	神经系统异常	Neurodegeneration	Progressive loss of neural cells and tissue.	神经退行性疾病	逐渐丢失的神经元细胞和神经组织。
HP:0002181	神经系统异常,代谢紊乱/稳态失衡	Cerebral edema	Abnormal accumulation of fluid in the brain.	脑水肿	大脑内液体异常蓄积。
HP:0002183	神经系统异常	Phonophobia	An abnormally heightened sensitivity to loud sounds.	声音恐惧	对高分贝声音异常敏感。
HP:0002185	神经系统异常	Neurofibrillary tangles	Pathological protein aggregates formed by hyperphosphorylation of a microtubule-associated protein known as tau, causing it to aggregate in an insoluble form.	神经原纤维缠结	称为tau蛋白的微管相关蛋白过度磷酸化之后形成病理性蛋白，聚合形成不溶性形式
HP:0002186	神经系统异常	Apraxia	A defect in the understanding of complex motor commands and in the execution of certain learned movements, i.e., deficits in the cognitive components of learned movements.	失用	在复杂运动指令的理解和在某些已学习动作的执行方面的缺陷，如在认知已学习运动的成分的缺陷。
HP:0002187	神经系统异常	Intellectual disability, profound	Profound mental retardation is defined as an intelligence quotient (IQ) below 20.	极重度智力残疾	极重度精神发育迟滞定义为智商（IQ）低于20。
HP:0002188	神经系统异常	Delayed CNS myelination	`Delayed` (PATO:0000502) `myelination` (GO:0042552) in the central nervous system.	中枢神经系统的髓鞘化延迟	中枢神经系统的髓鞘形成（GO:0042552）延迟（PATO:0000502）。
HP:0002189	神经系统异常	Excessive daytime sleepiness	#####	白天过度睡眠	#####
HP:0002190	神经系统异常	Choroid plexus cyst	A cyst occurring within the `choroid plexus` (FMA:61934) within a cerebral ventricle.	脉络丛囊肿	脑室脉络丛（FMA:61934）内出现的囊肿。
HP:0002191	肌肉组织异常,神经系统异常	Progressive spasticity	Spasticity that increases in degree with time.	进行性痉挛	随着时间进行性加重的痉挛。
HP:0002193	神经系统异常	Pseudobulbar behavioral symptoms	Individuals with `Pseudobulbar signs` (HP:0002200) often also demonstrate abnormal behavioral symptoms such as inappropriate emotional outbursts of uncontrolled laughter or weeping etc.	假性延髓行为症状	有假性球麻痹症状的患者，也常表现出异常行为症状，如不加控制的笑声或哭泣等不适当的情绪爆发
HP:0002194	神经系统异常	Delayed gross motor development	A type of `motor delay` (HP:0001270) characterized by an delay in acquiring the ability to control the large muscles of the body for walking, running, sitting, and crawling.	粗大运动发育迟缓	以习得控制身体大肌肉进行走、跑、坐及爬的能力延迟为特点的运动发育迟缓（HP:0001270）。
HP:0002195	神经系统异常	Dysgenesis of the cerebellar vermis	Defective development of the `vermis of cerebellum` (FMA:76928).	小脑蚓部发育不全	`小脑蚓部`(FMA:76928)发育不良。
HP:0002196	神经系统异常	Myelopathy	#####	脊髓病	#####
HP:0002197	神经系统异常	Generalized seizures	Seizures of with initial involvement of both cerebral hemispheres.	全面性发作	癫痫发作起始时双侧大脑半球均受累。
HP:0002198	神经系统异常	Dilated fourth ventricle	An abnormal dilatation of the `fourth cerebral ventricle` (FMA:78469).	第四脑室扩张	第四脑室（FMA:78469）的异常扩张。
HP:0002199	神经系统异常,代谢紊乱/稳态失衡	Hypocalcemic seizures	#####	低钙发作	#####
HP:0002200	神经系统异常	Pseudobulbar signs	Pseudobulbar signs result from injury to an upper motor neuron lesion to the corticobulbar pathways in the pyramidal tract. Patients have difficulty chewing, swallowing and demonstrate slurred speech (often initial presentation) as well as abnormal behavioral symptoms such as inappropriate emotional outbursts of uncontrolled laughter or weeping etc.	假性球麻痹症状	假性球麻痹症状是由于锥体束通路上皮层延髓束受损而出现的一种上运动神经元病变。表现为咀嚼、吞咽困难和表达不清（通常为最初表现）。还有不受控制的强哭强笑等症状。
HP:0002202	代谢紊乱/稳态失衡,呼吸系统异常	Pleural effusion	The presence of an excessive amount of fluid in the `pleural cavity` (FMA:9740).	胸腔积液	#####
HP:0002203	肌肉组织异常,神经系统异常,呼吸系统异常	Respiratory paralysis	Inability to move the muscles of respiration.	呼吸肌麻痹	呼吸肌无法运动。
HP:0002204	心血管系统异常,呼吸系统异常	Pulmonary embolism	#####	肺栓塞	物质通过体循环运输到肺中，堵塞肺部动脉。
HP:0002205	呼吸系统异常,免疫系统异常	Recurrent respiratory infections	An increased susceptibility to respiratory infections as manifested by a history of recurrent respiratory infections.	反复呼吸道感染	呼吸道感染的易感性增加，表现为呼吸道的反复感染。
HP:0002206	呼吸系统异常	Pulmonary fibrosis	Replacement of normal lung tissues are progressively replaced by fibroblasts and collagen.	肺纤维化	正常肺组织逐步被成纤维细胞和胶原蛋白所取代。
HP:0002207	呼吸系统异常	Diffuse reticular or finely nodular infiltrations	#####	弥漫性网状或细结节状浸润	#####
HP:0002208	体壁的异常	Coarse hair	Hair shafts are rough in texture.	毛发粗糙	发干质地粗糙。
HP:0002209	头部和颈部的异常,体壁的异常	Sparse scalp hair	Decreased number of `head hairs` (FMA:54241) per unit area.	脱发	单位面积的头发数量减少。
HP:0002211	体壁的异常	White forelock	A triangular depigmented region of white hairs located in the anterior midline of the scalp.	额发变白	位于头皮的前正中线三角形区域的毛发变白。
HP:0002212	体壁的异常	Curly hair	#####	卷曲样发	#####
HP:0002213	体壁的异常	Fine hair	Hair that is fine or thin to the touch.	绒毛	细短、柔软的毛。
HP:0002215	体壁的异常	Sparse axillary hair	Reduced number or density of `axillary hair` (FMA:54253).	腋毛稀疏	腋毛数量或密度的减少。
HP:0002216	体壁的异常	Premature graying of hair	Development of gray hair at a younger than normal age.	少白头	较正常年龄提前出现白发。
HP:0002217	体壁的异常	Slow-growing hair	Hair whose growth is slower than normal.	毛发生长缓慢	毛发的生长比正常情况下慢。
HP:0002218	体壁的异常	Silver-gray hair	Hypopigmented hair that appears silver-gray.	银灰色毛发	毛发色素减退呈银灰色。
HP:0002219	体壁的异常	Facial hypertrichosis	#####	面部多毛症（先天性）	#####
HP:0002220	体壁的异常	Melanin pigment aggregation in hair shafts	#####	发干部位色素沉积	#####
HP:0002221	体壁的异常	Absent axillary hair	Absence of `axillary hair` (FMA:54253).	腋毛稀疏	腋毛的缺失。
HP:0002223	头部和颈部的异常,体壁的异常	Absent eyebrow	Absence of the `eyebrow` (FMA:54237).	无眉	眉毛缺失。
HP:0002224	体壁的异常	Woolly hair	#####	羊毛状发	#####
HP:0002225	体壁的异常	Sparse pubic hair	Reduced number or density of `pubic hair`(FMA:54319).	阴毛稀疏	阴毛数量或密度的减少。
HP:0002226	头部和颈部的异常,体壁的异常	White eyebrow	White color (lack of pigmentation) of the eyebrow.	白眉	眉毛呈白色（无色素沉着）。
HP:0002227	头部和颈部的异常,体壁的异常	White eyelashes	White color (lack of pigmentation) of the eyelashes.	白睫	睫毛呈白色（无色素沉着）。
HP:0002229	体壁的异常	Alopecia areata	Loss of round patches of scalp hair.	斑秃	头发呈圆形斑片样脱失。
HP:0002230	体壁的异常	Generalized hirsutism	Abnormally increased hair growth over much of the entire body.	全身性多毛症	全身性毛发异常增多。
HP:0002231	体壁的异常	Sparse body hair	Sparseness of the body hair.	体毛稀疏	稀疏的体毛。
HP:0002232	体壁的异常	Patchy alopecia	#####	片形脱发，鬼剃头	#####
HP:0002234	体壁的异常	Early balding	Loss of scalp hair at an earlier than normal age.	男性脱发、家族性秃发、脂溢性脱发、遗传性脱发、雄激素性脱发	头皮脱落年龄早于正常脱发年龄。
HP:0002235	体壁的异常	Pili canaliculi	Uncombable hair.	隧道毛发	蓬乱的毛发。
HP:0002236	体壁的异常	Frontal upsweep of hair	Upward and/or sideward growth of anterior hair.	前额卷发	前额头发向上和（或）向侧方生长。
HP:0002239	心血管系统异常,消化系统异常,血液和造血组织异常	Gastrointestinal hemorrhage	`Hemorrhage` (MPATH:119) affecting the `gastrointestinal tract` (FMA:71132).	胃肠道出血	累及胃肠道的出血。
HP:0002240	消化系统异常	Hepatomegaly	Abnormally `increased size` (PATO:0000586) of the `liver` (FMA:7197).	肝脏肿大	肝脏尺寸异常增大。
HP:0002242	消化系统异常	Abnormality of the intestine	An abnormality of the `intestine` (FMA:7199). The closely related term enteropathy is used to refer to any disease of the intestine.	肠道异常	肠道的异常。与其密切相关的术语，肠病，被用于指肠道的任何疾病。
HP:0002243	消化系统异常	Protein-losing enteropathy	Abnormal loss of protein from the digestive tract related to excessive leakage of plasma proteins into the lumen of the gastrointestinal tract.	蛋白丢失性肠病	血浆蛋白过量渗漏入消化道内引起的蛋白从消化道异常丢失。
HP:0002244	消化系统异常	Abnormality of the small intestine	An abnormality of the `small intestine` (FMA:7200).	小肠异常	小肠的异常。
HP:0002245	消化系统异常	Meckel diverticulum	Meckel&#39;s diverticulum is a congenital diverticulum located in the distal ileum.	Meckel憩室	Meckel憩室是位于回肠远端的先天性憩室。
HP:0002246	消化系统异常	Abnormality of the duodenum	An abnormality of the duodenum, i.e., the first section of the small intestine.	十二指肠异常	十二指肠（即小肠第一部分）的异常。
HP:0002247	消化系统异常	Duodenal atresia	A developmental defect resulting in complete obliteration of the duodenal lumen, that is, an abnormal closure of the duodenum.	十二指肠闭锁	一种导致十二指肠腔完全闭锁的发育缺陷，即，十二指肠的异常闭合。
HP:0002248	心血管系统异常,消化系统异常,血液和造血组织异常	Hematemesis	The vomiting of blood.	呕血	呕出血液。
HP:0002249	心血管系统异常,消化系统异常,血液和造血组织异常	Melena	The passage of blackish, tarry feces associated with gastrointestinal hemorrhage. Melena occurs if the blood remains in the colon long enough for it to be broken down by colonic bacteria. One degradation product, hematin, imbues the stool with a blackish color. Thus, melena generally occurs with bleeding from the upper gastrointestinal tract (e.g., sotmach ulcers or duodenal ulcers), since the blood usually remains in the gut for a longer period of time than with lower gastrointestinal bleeding.	黑便	与消化道出血相关的黑色、柏油样粪便的排泄。当血在结肠停留的时间足够长时，结肠细菌可将其降解而产生黑便。血红素是一种降解产物，可将粪便染为黑色。因此，黑便通常伴随上消化道出血（例如，胃溃疡或十二指肠溃疡），因血液在肠道中停留的时间通常较下消化道出血更长。
HP:0002250	消化系统异常	Abnormality of the large intestine	Any abnormality of the `large intestine` (FMA:7201).	大肠异常	大肠的任何异常。
HP:0002251	神经系统异常,消化系统异常	Aganglionic megacolon	An abnormality resulting from a lack of intestinal ganglion cells (i.e., an aganglionic section of bowel) that results in bowel obstruction with enlargement of the colon.	无神经节性巨结肠	由于缺乏肠神经节细胞引起的异常（即肠道的无神经节节段），导致肠梗阻伴结肠扩张。
HP:0002253	消化系统异常	Colonic diverticulosis	The presence of `multiple` (PATO:0002118) `diverticula` (MPATH:68) of the colon.	结肠憩室	结肠存在多个憩室。
HP:0002254	消化系统异常	Intermittent diarrhea	#####	间歇性腹泻	#####
HP:0002256	消化系统异常	Small bowel diverticula	#####	小肠憩室	#####
HP:0002257	头部和颈部的异常	Chronic rhinitis	Chronic inflammation of the nasal mucosa.	慢性鼻炎	鼻粘膜的慢性炎症。
HP:0002263	头部和颈部的异常	Exaggerated cupid&#39;s bow	More pronounced paramedian peaks and median notch of the Cupid&#39;s bow.	夸张的丘比特唇弓	丘比特弓（唇弓）的更显著的正中两侧的双峰和正中切口。
HP:0002265	耳部异常	Large fleshy ears	#####	大肉耳	#####
HP:0002266	神经系统异常	Focal clonic seizures	#####	局灶性阵挛性发作	#####
HP:0002267	神经系统异常	Exaggerated startle response	An exaggerated startle reaction in response to a sudden unexpected visual or acoustic stimulus, or a quick movement near the face.	过度惊跳反射	突然且意外的视觉、听觉或面部周围快速的移动引发的过度地惊跳反射。
HP:0002268	神经系统异常	Paroxysmal dystonia	A form of dystonia characterized by episodes of dystonia (often hemidystonia or generalized) lasting from minutes to hours. There are no dystonic symptoms between episodes.	阵发性肌张力障碍	肌张力障碍的一种形式特征是肌张力障碍（通常偏身或全身），从几分钟到几个小时持续发作。有发作之间没有肌张力障碍的症状。
HP:0002269	神经系统异常	Abnormality of neuronal migration	An abnormality resulting from an anomaly of neuronal migration, i.e., of the process by which neurons travel from their origin to their final position in the brain.	神经细胞迁移异常	神经细胞迁移异常，如神经元从他们的起源迁移至其在大脑中的最终位置的过程中的异常。
HP:0002270	神经系统异常	Abnormality of the autonomic nervous system	An abnormality of the `autonomic nervous system` (FMA:9905).	自主神经系统异常	`自主神经系统`的异常（FMA:9905）。
HP:0002271	神经系统异常	Autonomic dysregulation	An abnormality of the regulation of the `autonomic nervous system` (FMA:9905).	自主神经失调	`自主神经系统调节异常（FMA:9905）。
HP:0002273	神经系统异常	Tetraparesis	Weakness of all four limbs.	四肢轻瘫	四肢虚弱。
HP:0002275	神经系统异常	Poor motor coordination	#####	运动不协调	#####
HP:0002277	神经系统异常,眼部异常	Horner syndrome	An abnormality resulting from a lesion of the sympathetic nervous system characterized by a combination of unilateral ptosis, miosis, and often ipsilateral hypohidrosis and conjunctival injection.	霍纳综合征	异常特征由交感神经系统的损伤而引起，表现为单方面上睑下垂，瞳孔缩小，并经常同侧少汗和结膜下注射。
HP:0002280	神经系统异常	Enlarged cisterna magna	Increase in size of the cisterna magna, one of three principal openings in the subarachnoid space between the arachnoid and pia mater, located between the cerebellum and the dorsal surface of the medulla oblongata.	小脑延髓池扩大	位于小脑和延髓背面之间的小脑延髓池大小增加。
HP:0002281	神经系统异常	Gray matter heterotopias	Gray matter heterotopia is a neurological disorder caused by clumps of grey matter being located in the wrong part of the brain. It is characterized as a type of cortical malformation. The neurons in heterotopia may appear to be normal, except for their mislocation; nuclear studies have shown glucose metabolism equal to that of normally positioned gray matter. The condition causes a variety of symptoms, but usually includes some degree of epilepsy or recurring seizures, and often affects the brain&#39;s ability to function on higher levels. Symptoms range from nonexistent to profound, in which case heterotopia can result in severe seizure disorder, loss of motor skills, and mental retardation.	灰质异位	灰质异位是指因灰质团块位于脑内错误的位置导致的神经功能障碍，是皮质畸形的一种。除了位置，异位的神经元可能是正常的；且葡萄糖代谢水平与正常位置的灰质一致。这种情况可以造成的多种不同症状，但通常包含一定程度的癫痫或反复痫性发作，常会影响大脑更高水平的能力。其表现可以无症状，也可以引起严重症状，比如严重的癫痫，运动能力丧失，智力低下。
HP:0002282	神经系统异常	Heterotopia	#####	异位	#####
HP:0002283	神经系统异常	Global brain atrophy	Unlocalized atrophy of the brain with decreased total brain matter volume and increased ventricular size.	全脑萎缩	大脑整体灰质体积减少，而非特定部位萎缩，伴脑池扩大。
HP:0002286	体壁的异常	Fair hair	A lesser degree of hair pigmentation than would otherwise be expected.	金发	毛发色素沉着与正常状态相比较减少。
HP:0002287	体壁的异常	Progressive alopecia	Progressive loss of hair.	进行性脱发	进行性毛发脱失。
HP:0002289	体壁的异常	Alopecia universalis	Loss of all hair on the entire body.	全身毛发脱失	全身的毛发全部脱失。
HP:0002290	体壁的异常	Poliosis	Circumscribed depigmentation of the hair of the head or the eyelashes.	白发	头发或睫毛局限性色素脱失。
HP:0002292	体壁的异常	Frontal balding	Absence of hair in the anterior midline and/or parietal areas.	前额秃发	前额中线部位和（或）头顶的秃发。
HP:0002293	头部和颈部的异常,体壁的异常	Alopecia of scalp	#####	头皮脱发	#####
HP:0002296	体壁的异常	Progressive hypotrichosis	Progressively reduced or lacking hair growth.	进行性少毛症	毛发生长呈进行性减慢或停滞。
HP:0002297	体壁的异常	Red hair	#####	红发	#####
HP:0002298	体壁的异常	Absent hair	#####	毛发缺失	#####
HP:0002299	体壁的异常	Brittle hair	Fragile, easily breakable hair, i.e., with reduced tensile strength.	毛发干枯	毛发抗拉强度降低并且脆弱易断裂。
HP:0002300	神经系统异常	Mutism	#####	缄默症	#####
HP:0002301	神经系统异常	Hemiplegia	Paralysis (complete loss of muscle function) in the arm, leg, and in some cases the face on one side of the body.	偏瘫	一侧上下肢瘫痪（肌肉功能完全丧失），有时累及面部。
HP:0002304	神经系统异常	Akinesia	Inability to initiate changes in activity or movement and to perform ordinary volitional movements rapidly and easily.	运动不能	没有发起自主活动或运动并能快速、轻松地执行日常的自主运动的能力。
HP:0002305	神经系统异常	Athetosis	Athetosis (from the Greek word for &#39;changeable&#39; or &#39;unfixed&#39;) refers to an inability to sustain the muscles of the fingers, toes, tongue, or any other group of muscles in a fixed position. Instead, posture is interrupted by slow, purposeless involuntary movements.	手足徐动症	手足徐动症（来自希腊字为&#39;可变“或”不固定“）是指无法维持手指、脚趾、舌头或任何其他组的肌肉在固定位置。相反，姿势被缓慢、无目的的不自主运动中断。
HP:0002307	神经系统异常,头部和颈部的异常	Drooling	Habitual flow of saliva out of the mouth.	流涎	从嘴里习惯性地流出口水。
HP:0002308	神经系统异常	Arnold-Chiari malformation	Arnold-Chiari malformation consists of a downward displacement of the cerebellar tonsils and the medulla through the foramen magnum, sometimes causing hydrocephalus as a result of obstruction of CSF outflow.	小脑扁桃体下疝畸形	Arnold-Chiari 畸形包括小脑扁桃体向下移位，并且延髓通过枕骨大孔，有时会由于阻塞脑脊液外流造成脑积水。
HP:0002310	神经系统异常	Orofacial dyskinesia	#####	口面运动障碍	#####
HP:0002311	神经系统异常	Incoordination	#####	不协调	#####
HP:0002312	神经系统异常	Clumsiness	Lack of physical coordination resulting in an abnormal tendency to drop items or bump into objects.	笨拙	缺乏身体的协调性，导致不正常的倾向，容易掉落物品或者撞到物体。
HP:0002313	肌肉组织异常,神经系统异常	Spastic paraparesis	#####	痉挛性双下肢瘫	#####
HP:0002314	神经系统异常	Degeneration of the lateral corticospinal tracts	Deterioration of the tissues of the `lateral corticospinal tracts` (FMA:72635).	皮质脊髓侧束变性	皮质脊髓侧束（FMA:72635）退行性变。
HP:0002315	神经系统异常	Headache	Cephalgia, or pain sensed in various parts of the head, not confined to the area of distribution of any nerve.	头痛	不局限于任何神经的分布区域，头的不同部位感知的疼痛。
HP:0002317	神经系统异常	Unsteady gait	#####	步态不稳	#####
HP:0002318	神经系统异常	Cervical myelopathy	#####	脊髓型颈椎病	#####
HP:0002321	耳部异常	Vertigo	An abnormal sensation of spinning while the body is actually stationary.	眩晕	身体静止不动却自觉旋转的异常感觉。
